k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
30;6;23;Yes;2822070;1815064;65056;50056;772624
30;6;24;No;2822070;1081516;65056;50056;467691
30;6;24;Yes;2822070;1857131;65056;50056;784554
30;6;25;No;2822070;1123571;65056;50056;479621
30;6;25;Yes;2822070;1899186;65056;50056;796484
30;6;26;No;2822070;1165649;65056;50056;491551
30;6;26;Yes;2822070;1941265;65056;50056;808414
30;6;27;No;2822070;1207704;65056;50056;503481
30;6;27;Yes;2822070;1983319;65056;50056;820344
30;6;28;No;2822070;1249782;65056;50056;515411
30;6;28;Yes;2822070;2025398;65056;50056;832274
30;6;29;No;2822070;1291837;65056;50056;527341
30;6;29;Yes;2822070;2067453;65056;50056;844204
30;6;30;No;2822070;1333915;65056;50056;539271
30;6;30;Yes;2822070;2109532;65056;50056;856134
30;6;31;No;2822070;1375982;65056;50056;551201
30;6;31;Yes;2822070;2151599;65056;50056;868064
30;6;32;No;2822070;1418048;65056;50056;563131
30;6;32;Yes;2822070;2193666;65056;50056;879994
30;6;33;No;2822070;1460103;65056;50056;575061
30;6;33;Yes;2822070;2235720;65056;50056;891924
30;6;34;No;2822070;1502170;65056;50056;586991
30;6;34;Yes;2822070;2277787;65056;50056;903854
30;6;35;No;2822070;1544224;65056;50056;598921
30;6;35;Yes;2822070;2319842;65056;50056;915784
30;6;36;No;2822070;1586303;65056;50056;610851
30;6;36;Yes;2822070;2361921;65056;50056;927714
30;9;1;No;2955501;113992;65056;50056;206291
30;9;1;Yes;2955501;951029;65056;50056;548957
30;9;2;No;2955501;156070;65056;50056;218221
30;9;2;Yes;2955501;993107;65056;50056;560887
30;9;3;No;2955501;198124;65056;50056;230151
30;9;3;Yes;2955501;1035162;65056;50056;572817
30;9;4;No;2955501;240202;65056;50056;242081
30;9;4;Yes;2955501;1077240;65056;50056;584747
30;9;5;No;2955501;282256;65056;50056;254011
30;9;5;Yes;2955501;1119295;65056;50056;596677
30;9;6;No;2955501;324335;65056;50056;265941
30;9;6;Yes;2955501;1161373;65056;50056;608607
30;9;7;No;2955501;366401;65056;50056;277871
30;9;7;Yes;2955501;1203440;65056;50056;620537
30;9;8;No;2955501;408467;65056;50056;289801
30;9;8;Yes;2955501;1245506;65056;50056;632467
30;9;9;No;2955501;450521;65056;50056;301731
30;9;9;Yes;2955501;1287561;65056;50056;644397
30;9;10;No;2955501;492587;65056;50056;313661
30;9;10;Yes;2955501;1329627;65056;50056;656327
30;9;11;No;2955501;534642;65056;50056;325591
30;9;11;Yes;2955501;1371682;65056;50056;668257
30;9;12;No;2955501;576720;65056;50056;337521
30;9;12;Yes;2955501;1413760;65056;50056;680187
30;9;13;No;2955501;618774;65056;50056;349451
