value_hours,cdf
8.3512077294686,0.663
8.35224358974359,0.664
8.358595387840671,0.665
8.359,0.666
8.366397849462366,0.667
8.36687242798354,0.668
8.394610778443115,0.669
8.396540880503144,0.67
8.410271317829457,0.671
8.411212121212122,0.672
8.42174603174603,0.673
8.436913580246914,0.674
8.448563218390804,0.675
8.451653944020356,0.676
8.458985507246377,0.677
8.488548752834467,0.678
8.489316239316238,0.679
8.492290249433106,0.68
8.496190476190476,0.681
8.504852320675106,0.682
8.532920110192837,0.683
8.544262295081968,0.684
8.550118203309692,0.685
8.559482758620689,0.686
8.575208333333334,0.687
8.576977401129945,0.688
8.580574712643678,0.689
8.583333333333334,0.69
8.587916666666667,0.691
8.594224422442245,0.692
8.627346278317152,0.693
8.628378378378379,0.694
8.629775280898876,0.695
8.640310077519379,0.696
8.64212962962963,0.697
8.656444444444444,0.698
8.662271062271062,0.699
8.663203463203462,0.7
8.665168539325842,0.701
8.667592592592593,0.702
8.67183908045977,0.703
8.672258064516129,0.704
8.673118279569891,0.705
8.679032258064517,0.706
8.711358024691357,0.707
8.712869198312235,0.708
8.729448621553884,0.709
8.743445692883896,0.71
8.74744623655914,0.711
8.749494949494949,0.712
8.768834688346884,0.713
8.769465648854961,0.714
8.779545454545454,0.715
8.785844748858448,0.716
8.786436781609195,0.717
8.787421383647798,0.718
8.789141414141413,0.719
8.792840375586854,0.72
8.799820788530466,0.721
8.811868686868687,0.722
8.81894586894587,0.723
8.847420634920635,0.724
8.863646532438478,0.725
8.864176245210727,0.726
8.876170798898071,0.727
8.892114695340501,0.728
8.895528455284552,0.729
8.897126436781608,0.73
8.940350877192984,0.731
8.964671361502347,0.732
8.974887387387387,0.733
8.986160714285715,0.734
8.990780141843972,0.735
8.992857142857142,0.736
8.995112781954887,0.737
8.995934959349594,0.738
8.9991452991453,0.739
8.99988425925926,0.74
9.020567375886525,0.741
9.03677536231884,0.742
9.03919540229885,0.743
9.064193548387097,0.744
9.065954415954415,0.745
9.080103359173126,0.746
9.087864077669902,0.747
9.098659003831417,0.748
9.125510204081632,0.749
9.148758865248226,0.75
9.153448275862068,0.751
9.175,0.752
9.180676328502415,0.753
9.1835,0.754
9.183564814814815,0.755
9.222086720867209,0.756
9.233333333333333,0.757
9.239518900343642,0.758
9.278148148148148,0.759
9.280555555555555,0.76
9.297261904761905,0.761
9.300516795865633,0.762
9.309943977591036,0.763
9.31978021978022,0.764
9.321509971509972,0.765
9.327222222222222,0.766
9.336373873873875,0.767
9.38954802259887,0.768
9.392210144927537,0.769
9.403846153846153,0.77
9.424796747967479,0.771
9.453018372703411,0.772
9.460119047619049,0.773
9.463910761154855,0.774
9.467307692307694,0.775
9.468960244648319,0.776
9.470052083333334,0.777
9.47547619047619,0.778
9.488928571428572,0.779
9.495730027548209,0.78
9.515116279069767,0.781
9.521666666666667,0.782
9.541343669250647,0.783
9.556613756613757,0.784
9.564583333333333,0.785
9.566901408450704,0.786
9.594285714285714,0.787
9.599873737373738,0.788
9.602678571428571,0.789
9.6244,0.79
9.62536231884058,0.791
9.62880658436214,0.792
9.651204819277108,0.793
9.661507936507938,0.794
9.67005649717514,0.795
9.680208333333333,0.796
9.680952380952382,0.797
9.6893470790378,0.798
9.713663663663663,0.799
9.713973063973064,0.8
9.718776371308017,0.801
9.724050632911393,0.802
9.72638888888889,0.803
9.731560283687942,0.804
9.788940809968846,0.805
9.805757575757577,0.806
9.828095238095239,0.807
9.8453125,0.808
9.845945945945944,0.809
9.846153846153847,0.81
9.851265822784809,0.811
9.857875457875457,0.812
9.864434523809523,0.813
9.86470588235294,0.814
9.866929133858267,0.815
9.921604938271605,0.816
9.924,0.817
9.926706827309237,0.818
9.932051282051281,0.819
10.00068493150685,0.82
10.006666666666666,0.821
10.052692307692308,0.822
10.057487922705315,0.823
10.076,0.824
10.105833333333333,0.825
10.111320754716981,0.826
10.130151515151514,0.827
10.130654761904761,0.828
10.132205513784461,0.829
10.135066666666667,0.83
10.144396551724139,0.831
10.147967479674797,0.832
10.151433691756273,0.833
10.209950248756218,0.834
10.217037037037038,0.835
10.222222222222221,0.836
10.276444444444444,0.837
10.294661458333334,0.838
10.301111111111112,0.839
10.370486111111111,0.84
10.373446327683615,0.841
10.37991967871486,0.842
10.422222222222222,0.843
10.42468671679198,0.844
10.431547619047619,0.845
10.432795698924732,0.846
10.43560606060606,0.847
10.438831615120273,0.848
10.450636132315521,0.849
